Profil Adı;Delta;Theta;Alpha;Beta;Gamma;
YARATICI LİDER;Orta;Orta;Yüksek;Yüksek;Yüksek;
KARARLI GÖZLEMCİ;Orta-Düşük;Yüksek;Yüksek;Orta;Orta-Yüksek;
ZİHİNSEL SAVAŞÇI ;Düşük;Düşük    ;Düşük;Orta;Yüksek;
ODAĞI YÜKSEK;Düşük;Düşük    ;Yüksek;Orta;Düşük;
YAŞAM USTASI;Orta;Orta;Yüksek;Yüksek;Orta;
İSTİKRAR SEVEN;Orta;Orta;Orta;Orta;Düşük;
SESSİZ GÖZLEMCİ;Yüksek;Düşük    ;Orta;Orta;Düşük;
HUZUR ODAKLI YAŞAYAN;Yüksek;Orta;Orta;Orta;Düşük;
DİNGİN YAŞAYAN;Yüksek;Yüksek;Yüksek;Orta;Düşük;
DENGE YOLCUSU;Orta;Orta;Orta;Orta;Orta;
MEDİTATİF LİDER;Orta;Yüksek;Orta;Orta;Yüksek;
BİLİNÇLİ ÖNDER;Orta;Orta;Orta;Yüksek;Yüksek;
VİZYON USTASI;Orta;Orta;Orta;Orta;Yüksek;
YARATICI ODAK;Orta - Düşük;Orta - Düşük;Yüksek;Yüksek;Orta;
VERİ MEDİTATÖRÜ;Düşük;Orta - Düşük;Orta;Yüksek;Orta;
GÜÇ ODAKLI YÖNETEN;Orta;Düşük    ;Orta;Orta;Orta; 
GÖREV İNSANI;Orta;Düşük    ;Orta;Orta;Orta;
KONTROLLÜ YAŞAYAN ;Orta;Düşük    ;Düşük;Orta;Orta;
ÇÖZÜM ODAKLI;Düşük;Orta;Orta;Yüksek;Yüksek;
EMPATİK SAVAŞÇI;Düşük;Yüksek;Orta;Düşük;Orta;
KENDİNİ BİLEN;Orta;Orta;Yüksek;Orta;Düşük;
İÇ GÖZLEMCİ;Yüksek;Orta;Orta;Düşük;Düşük;
DETAYLARA HAKİM;Orta;Düşük    ;Düşük;Yüksek;Orta-Düşük;
SEZGİSEL STRATEJİST;Orta - Düşük;Orta;Düşük;Yüksek;Yüksek;
EMPATİK LİDER;Düşük;Yüksek;Orta;Orta;Yüksek;
 ;;;;;; 
 ; ; ; ; ; ; 
 ; ; ; ; ; ;
 ; ; ; ; ; ;
 ; ; ; ; ; ;
;;;;;;
 ; ; ; ; ; ;
